V(Linear Velocity),W(Angular Velocity),goal_reaching_cost,MU,SIGMA,PVO cost
-0.2,-0.2,0.9998,3.8941,0.1727,4.1531
-0.2,-0.1789,0.9998,3.8952,0.1715,4.1524
-0.2,-0.1579,0.9997,3.8961,0.1704,4.1517
-0.2,-0.1368,0.9997,3.8969,0.1695,4.1511
-0.2,-0.1158,0.9996,3.8975,0.1687,4.1505
-0.2,-0.0947,0.9996,3.8981,0.168,4.1501
-0.2,-0.0737,0.9996,3.8985,0.1675,4.1497
-0.2,-0.0526,0.9995,3.8987,0.1671,4.1494
-0.2,-0.0316,0.9995,3.8989,0.1669,4.1492
-0.2,-0.0105,0.9995,3.8989,0.1668,4.1491
-0.2,0.0105,0.9996,3.8988,0.1668,4.149
-0.2,0.0316,0.9996,3.8986,0.167,4.1491
-0.2,0.0526,0.9996,3.8982,0.1673,4.1492
-0.2,0.0737,0.9996,3.8977,0.1678,4.1495
-0.2,0.0947,0.9997,3.8971,0.1684,4.1498
-0.2,0.1158,0.9997,3.8964,0.1692,4.1502
-0.2,0.1368,0.9998,3.8955,0.1701,4.1506
-0.2,0.1579,0.9998,3.8945,0.1711,4.1512
-0.2,0.1789,0.9999,3.8934,0.1723,4.1518
-0.2,0.2,1.0,3.8921,0.1736,4.1525
-0.1789,-0.2,0.9473,4.0596,0.1794,4.3286
-0.1789,-0.1789,0.9472,4.0607,0.1781,4.3278
-0.1789,-0.1579,0.9471,4.0617,0.1769,4.327
-0.1789,-0.1368,0.9471,4.0625,0.1759,4.3264
-0.1789,-0.1158,0.947,4.0633,0.175,4.3258
-0.1789,-0.0947,0.947,4.0638,0.1743,4.3253
-0.1789,-0.0737,0.947,4.0643,0.1737,4.3249
-0.1789,-0.0526,0.9469,4.0646,0.1733,4.3245
-0.1789,-0.0316,0.9469,4.0647,0.173,4.3243
-0.1789,-0.0105,0.9469,4.0648,0.1729,4.3242
-0.1789,0.0105,0.9469,4.0647,0.173,4.3242
-0.1789,0.0316,0.947,4.0644,0.1732,4.3242
-0.1789,0.0526,0.947,4.064,0.1736,4.3244
-0.1789,0.0737,0.947,4.0635,0.1741,4.3246
-0.1789,0.0947,0.9471,4.0628,0.1748,4.325
-0.1789,0.1158,0.9471,4.062,0.1756,4.3254
-0.1789,0.1368,0.9472,4.0611,0.1766,4.3259
-0.1789,0.1579,0.9473,4.06,0.1777,4.3266
-0.1789,0.1789,0.9473,4.0588,0.179,4.3272
-0.1789,0.2,0.9474,4.0574,0.1804,4.328
-0.1579,-0.2,0.8947,4.2285,0.1862,4.5078
-0.1579,-0.1789,0.8946,4.2297,0.1848,4.5069
-0.1579,-0.1579,0.8945,4.2308,0.1835,4.5061
-0.1579,-0.1368,0.8945,4.2317,0.1824,4.5053
-0.1579,-0.1158,0.8944,4.2325,0.1815,4.5047
-0.1579,-0.0947,0.8944,4.2331,0.1807,4.5041
-0.1579,-0.0737,0.8944,4.2336,0.1801,4.5037
-0.1579,-0.0526,0.8943,4.2339,0.1796,4.5033
-0.1579,-0.0316,0.8943,4.234,0.1794,4.5031
-0.1579,-0.0105,0.8943,4.2341,0.1793,4.503
-0.1579,0.0105,0.8943,4.234,0.1793,4.5029
-0.1579,0.0316,0.8944,4.2337,0.1795,4.503
-0.1579,0.0526,0.8944,4.2333,0.1799,4.5032
-0.1579,0.0737,0.8944,4.2327,0.1805,4.5035
